playername,playerid,playerage
Aïssa Mandi,90115,22-10-1991
Mark Noble,8247,08-05-1987
Sergi Darder,106596,22-12-1993
Zouhair Feddal,106597,23-12-1989
Paulo Dybala,114863,15-11-1993
Jasmin Kurtic,90287,10-01-1989
Daniel Carvajal,106883,11-01-1992
Íñigo Martínez,106885,17-05-1991
Arturo Vidal,25008,22-05-1987
Daniel Caligiuri,82362,15-01-1988
Mauro Icardi,106964,19-02-1993
Jamie Vardy,106981,11-01-1987
Allan,82438,08-01-1991
Makoto Hasebe,16954,18-01-1984
Oriol Romeu,90780,24-09-1991
Kalidou Koulibaly,90880,20-06-1991
Éver Banega,33724,29-06-1988
James Tomkins,33930,29-03-1989
Wendell,132273,20-07-1993
Cheikhou Kouyaté,66741,21-12-1989
Fabinho,115916,23-10-1993
Jonny,115917,03-03-1994
Iñaki Williams,255182,15-06-1994
Allan-Roméo Nyom,91434,10-05-1988
César Azpilicueta,25931,28-08-1989
Blaise Matuidi,17778,09-04-1987
Damien Da Silva,34176,17-05-1988
Diego Godín,26059,16-02-1986
Fabio Quagliarella,9730,31-01-1983
Rodrigo,83459,06-03-1991
Senad Lulic,26168,18-01-1986
Álvaro González,99907,08-01-1990
Harry Kane,83532,28-07-1993
Abdoulaye Doucouré,116317,01-01-1993
José Callejón,67206,11-02-1987
Neymar,50835,05-02-1992
Sergio Ramos,9909,30-03-1986
Elseid Hysaj,108345,02-02-1994
Geoffrey Kondogbia,91978,15-02-1993
Oscar Wendt,10088,24-10-1985
Pedro Mendes,67474,01-10-1990
Rubén Pérez,67480,26-04-1989
Nicolás Otamendi,75691,12-02-1988
Marco Parolo,26587,25-01-1985
Marcos Alonso,84008,28-12-1990
Alassane Plea,108585,10-03-1993
Josip Ilicic,43194,29-01-1988
Djibril Sidibé,10454,29-07-1992
Héctor Bellerín,125211,19-03-1995
Federico Peluso,18723,20-01-1984
Danilo,18727,10-05-1984
Bastian Oczipka,67925,12-01-1989
Maximilian Arnold,108919,27-05-1994
Benjamin André,43415,03-08-1990
Aaron Cresswell,68049,15-12-1989
Julian Baumgartlinger,27124,02-01-1988
Ragnar Klavan,10839,30-10-1985
Francesco Magnanelli,27227,12-11-1984
Daniel Wass,27254,31-05-1989
Kevin Volland,92812,30-07-1992
Jordan Veretout,101017,01-03-1993
Fernandinho,19119,04-05-1985
Marvin Plattenhardt,92934,26-01-1992
Ivan Radovanovic,35640,29-08-1988
Nicolas Nkoulou,43834,27-03-1990
Lukasz Piszczek,11090,03-06-1985
Lionel Messi,11119,24-06-1987
Nicolas Pallois,84899,19-09-1987
Gabriel Paulista,76810,26-11-1990
Raphael Varane,93206,25-04-1993
Jordan Henderson,68659,17-06-1990
Wilfried Zaha,85059,10-11-1992
Pierre-Emerick Aubameyang,44120,18-06-1989
Raúl García,11386,11-07-1986
Lorenzo De Silvestri,19580,23-05-1988
Radja Nainggolan,52380,04-05-1988
Kamil Glik,44208,03-02-1988
Joaquín,3283,21-07-1981
Eric Dier,117973,15-01-1994
Jordi Alba,44288,21-03-1989
Gonzalo Higuaín,19729,10-12-1987
Sadio Mané,109915,10-04-1992
Alessio Romagnoli,118158,12-01-1995
Daniel Parejo,28186,16-04-1989
Marquinhos,101949,14-05-1994
Recio,93820,11-01-1991
Sergio Busquets,44721,16-07-1988
Christian Eriksen,69344,14-02-1992
Gylfi Sigurdsson,69346,08-09-1989
Cristiano Biraghi,93935,01-09-1992
Henrikh Mkhitaryan,28421,21-01-1989
Domenico Berardi,118542,01-08-1994
Marcelo,20241,12-05-1988
Hakan Calhanoglu,110373,08-02-1994
Federico Fernández,44847,21-02-1989
Theodor Gebre Selassie,36663,24-12-1986
Manu Trigueros,102234,17-10-1991
James McArthur,20339,07-10-1987
Thiago Silva,28550,22-09-1984
Aleksandar Kolarov,12267,10-11-1985
Kyle Walker,69778,28-05-1990
Leonardo Bonucci,20664,01-05-1987
Thomas Müller,37099,13-09-1989
Raúl Albiol,12575,04-09-1985
Toby Alderweireld,69933,02-03-1989
Jaume Costa,69965,18-03-1988
Luka Modric,20874,09-09-1985
Patrick van Aanholt,78221,29-08-1990
Dani García,127392,24-05-1990
Gerard Piqué,12712,02-02-1987
Matías Vecino,135625,24-08-1991
Josuha Guilavogui,70105,19-09-1990
Kostas Manolas,70149,14-06-1991
Hiroki Sakai,62108,12-04-1990
Romelu Lukaku,78498,13-05-1993
Robert Lewandowski,29400,21-08-1988
Willian,29463,09-08-1988
José Gayà,119817,25-05-1995
Daniel Congré,13343,05-04-1985
Mats Hummels,21541,16-12-1988
Loic Perrin,13436,07-08-1985
Jannik Vestergaard,87182,03-08-1992
Nemanja Matic,38128,01-08-1988
Jan Vertonghen,21778,24-04-1987
Laurent Koscielny,30051,10-09-1985
Facundo Roncaglia,38277,10-02-1987
Lars Stindl,30110,26-08-1988
Mesut Özil,13756,15-10-1988
Cristiano Ronaldo,5583,05-02-1985
Miralem Pjanic,30226,02-04-1990
Bernardo Silva,136741,10-08-1994
Antonio Rüdiger,104010,03-03-1993
Daniel Baier,5763,18-05-1984
Jonathan Schmid,95903,22-06-1990
Chris Smalling,71345,22-11-1989
Francesco Acerbi,54968,10-02-1988
Sokratis Papastathopoulos,22210,09-06-1988
Luis Suárez,22221,24-01-1987
Dimitri Payet,14058,29-03-1987
Sebastian Rudy,38649,28-02-1990
David Silva,14102,08-01-1986
Sergio Agüero,14260,02-06-1988
Roberto Firmino,96182,02-10-1991
Karim Benzema,14296,19-12-1987
Papu Gómez,22546,15-02-1988
Mario Gaspar,79909,24-11-1990
Hugo Mallo,79929,22-06-1991
Ivan Rakitic,22732,10-03-1988
Ryan Bertrand,22846,05-08-1989
Jack Cork,22847,25-06-1989
Antoine Griezmann,80241,21-03-1991
Dante,6683,18-10-1983
Nacho Monreal,23072,26-02-1986
Ángel Di María,23110,14-02-1988
Luca Rossettini,31302,09-05-1985
Kevin Vogt,72266,23-09-1991
Idrissa Gueye,80464,26-09-1989
Hilton,6743,13-09-1977
James Ward-Prowse,105172,01-11-1994
Jimmy Briand,6890,02-08-1985
Yuri Berchiche,56057,10-02-1990
Danilo D'Ambrosio,64271,09-09-1988
David Alaba,39722,24-06-1992
Mexer,121720,08-09-1988
Koke,80764,08-01-1992
Philippe Coutinho,80767,12-06-1992
Angelo Ogbonna,23547,23-05-1988
Shkodran Mustafi,80921,17-04-1992
Toni Kroos,31772,04-01-1990
Daniel Brosinski,31814,17-07-1988
Adrien Thomasson,113747,10-12-1993
Tomás Rincón,31991,13-01-1988
Granit Xhaka,89401,27-09-1992
Ander Capa,130377,08-02-1992
Alexandre Lacazette,73078,28-05-1991
Gerard Moreno,97659,07-04-1992
Roberto Rosales,40346,20-11-1988
N'Golo Kanté,114075,29-03-1991
Raheem Sterling,97692,08-12-1994
Paul Pogba,97752,15-03-1993
Anthony Martial,122366,05-12-1995
Filip Kostic,105995,01-11-1992
Erik Pieters,24148,07-08-1988
Sidnei,40731,23-08-1989
João Moutinho,16161,08-09-1986
Timo Werner,130903,06-03-1996
Wissam Ben Yedder,89946,12-08-1990